item_id,item_name_en,korean_tag,aliases,category,sub_category,bag_color,destination,step_1_visual_id,step_1_text,step_2_visual_id,step_2_text,step_3_visual_id,step_3_text,mascot_funny_text,funny_fact,is_bulky,is_hazardous,bulky_website_url,special_note
T001,PET Water Bottle,생수병,water bottle|plastic water bottle|PET bottle|mineral water bottle|evian|fiji bottle,Recyclable,Clear PET,Clear PET,투명페트 separate bin,V01,Remove the cap,V02,Peel off the label,V03,Crush it flat,You really needed ANOTHER water bottle? The planet is judging.,Korea uses 4.9 billion PET bottles per year.,False,False,,Cap goes in Transparent bag separately
T002,Plastic Soda Bottle,탄산음료병,soda bottle|coke bottle|sprite bottle|fanta bottle|cola bottle|carbonated drink bottle,Recyclable,Clear PET,Clear PET,투명페트 separate bin,V04,Empty it completely,V01,Remove the cap,V03,Crush it flat,That sugar water was worth destroying the ocean? Cool cool cool.,Koreans drink 2.3 billion liters of soda annually.,False,False,,Rinse if sticky
T003,Colored Plastic Bottle,유색플라스틱병,shampoo bottle|body wash bottle|conditioner bottle|lotion bottle|detergent bottle|colored plastic bottle,Recyclable,Plastic,Transparent,재활용 bin,V04,Empty it completely,V05,Rinse it out,V03,Crush it flat,That 47-step skincare routine creates a LOT of trash.,"Korea's beauty industry produces 120,000 tons of plastic waste yearly.",False,False,,Remove pump/spray nozzle → General waste
T004,Plastic Food Container,플라스틱용기,takeout container|delivery container|bento box|plastic tray|food tray|meal container|disposable container,Recyclable,Plastic,Transparent,재활용 bin,V06,Remove all food bits,V05,Rinse it clean,V07,Stack them,Your Baemin addiction is showing. No judgment. OK maybe a little.,Koreans order 2.6 billion deliveries per year.,False,False,,If too greasy to clean → General waste White bag
T005,Plastic Cup (Iced Coffee),플라스틱컵,iced coffee cup|plastic cup|starbucks cup|disposable cup|cold drink cup|bubble tea cup|boba cup,Recyclable,Plastic,Transparent,재활용 bin,V04,Dump out the ice,V05,Rinse it quick,V07,Stack cups together,3 iced americanos a day? You're dehydrated AND trashy.,Korea consumes 3.3 billion disposable cups per year.,False,False,,Straw → General waste
T006,Plastic Bag,비닐봉지,plastic bag|shopping bag|grocery bag|vinyl bag|convenience store bag|poly bag,Recyclable,Vinyl/Film,Transparent,재활용 bin,V06,Shake out crumbs,V08,Flatten and fold it,V09,Put with other vinyl,You said no bag at the counter but here we are.,Korea banned free plastic bags in 2019.,False,False,,Must be clean and dry
T007,Bubble Wrap,뽁뽁이,bubble wrap|packing bubbles|air cushion packaging|protective wrap,Recyclable,Vinyl/Film,Transparent,재활용 bin,V10,Pop all the bubbles (mandatory fun),V08,Flatten it,V09,Put with other vinyl,Pop them all. We'll wait. ...Done? OK recycle it now.,Bubble wrap was originally invented as wallpaper in 1957.,False,False,,
T008,Styrofoam Container,스티로폼용기,styrofoam|foam container|ramen container|cup noodle cup|instant noodle container|polystyrene,Recyclable,Styrofoam,Transparent,재활용 bin,V06,Remove all food,V05,Rinse it clean,V11,Break into pieces if large,That midnight ramyeon hit different but so does the guilt.,"Korea uses 100,000 tons of styrofoam per year.",False,False,,Remove stickers/tape. If stained → General waste
T009,Styrofoam Delivery Box,택배스티로폼,delivery foam box|cooler box styrofoam|fresh food box|ice box styrofoam|meal kit box,Recyclable,Styrofoam,Transparent,재활용 bin,V12,Remove tape and labels,V05,Rinse if food residue,V11,Break into smaller pieces,Another meal kit? Your fridge is literally right there.,Korean delivery boxes travel an average of 200km.,False,False,,Leave outside near recycling area
T010,Plastic Wrap / Cling Film,랩,cling wrap|plastic wrap|saran wrap|food wrap|cling film|stretch wrap,General Waste,Vinyl/Film,White,일반쓰레기 bag,V13,Ball it up,,,,,Cling wrap is impossible to recycle. Even recycling plants hate it.,Cling film takes 450 years to decompose.,False,False,,Too thin to recycle
T011,Snack Bag / Chip Bag,과자봉지,chip bag|snack wrapper|crisp packet|doritos bag|lays bag|snack packaging,Recyclable,Vinyl/Film,Transparent,재활용 bin,V06,Shake out every crumb,V08,Flatten it,V09,Put with other vinyl,You ate the WHOLE bag? In one sitting? Respect.,The average chip bag is 43% air.,False,False,,If inside is foil-lined (shiny) → General waste
T012,Biscuit / Cookie Package,비스킷포장,biscuit pack|cookie wrapper|oreo package|cookie box|cracker package,Recyclable,Vinyl/Film,Transparent,재활용 bin,V06,Remove all crumbs,V08,Flatten the wrapper,V09,Put with other vinyl,"Sharing is caring. But you didn't share, did you?",Korea's snack market is worth $7.2 billion.,False,False,,Separate plastic tray from outer wrapper
T013,Ramen Wrapper,라면봉지,ramen package|instant noodle wrapper|ramyeon bag|noodle packet|shin ramyeon wrapper,Recyclable,Vinyl/Film,Transparent,재활용 bin,V06,Shake out seasoning dust,V08,Flatten it,V09,Put with vinyl,Your 47th ramyeon this month. Your sodium levels are SCREAMING.,Koreans eat 80 packs of instant noodles per person per year — #1 worldwide.,False,False,,Seasoning packet foil → General waste
T014,Plastic Straw,플라스틱빨대,straw|plastic straw|drinking straw|disposable straw,General Waste,Plastic (small),White,일반쓰레기 bag,V13,Just toss it in,,,,,This tiny thing will outlive you by 200 years.,Korea banned plastic straws in cafes in 2023.,False,False,,Too small to recycle
T015,Plastic Utensils,플라스틱수저,plastic fork|plastic spoon|plastic knife|disposable cutlery|delivery utensils,General Waste,Plastic (small),White,일반쓰레기 bag,V13,Just toss them in,,,,,You have REAL utensils at home. Why did you take these?,Korea uses 25 billion disposable items per year.,False,False,,
T016,Toothbrush,칫솔,toothbrush|electric toothbrush head|dental brush,General Waste,Plastic (mixed),White,일반쓰레기 bag,V13,Toss it in,,,,,Dentists say replace every 3 months. The planet says please don't.,5 billion toothbrushes end up in landfills globally each year.,False,False,,Mixed materials
T017,Pen / Marker,펜,pen|ballpoint pen|marker|highlighter|sharpie|felt tip pen,General Waste,Plastic (mixed),White,일반쓰레기 bag,V13,Toss it in,,,,,The pen is mightier than the sword but weaker than recycling.,A single ballpoint pen can draw a line 70km long.,False,False,,
T018,Plastic Hanger,플라스틱옷걸이,hanger|clothes hanger|plastic hanger|coat hanger,General Waste,Plastic (large),White,일반쓰레기 bag,V13,Put in general waste bag,,,,,Fast fashion's ugly cousin: fast hangers.,Dry cleaners in Korea give out 800 million hangers per year.,False,False,,Wire hangers → Metal recycling
T019,Cardboard Box,박스,cardboard|cardboard box|delivery box|amazon box|coupang box|shipping box|택배박스,Recyclable,Paper/Cardboard,None,종이류 recycling area,V12,Remove all tape and labels,V14,Flatten it completely,V15,Tie with string or stack neatly,Another Coupang delivery? Your doorbell is exhausted.,Korea recycles 87% of its cardboard.,False,False,,Leave next to recycling bins tied flat
T020,Newspaper,신문지,newspaper|news paper|daily paper|old newspaper,Recyclable,Paper/Cardboard,None,종이류 recycling area,V08,Stack them neatly,V15,Tie with string,,,Who still reads newspapers? You're wrapping dishes for moving.,Korea's newspaper circulation dropped 70% in 10 years.,False,False,,
T021,Magazine / Catalog,잡지,magazine|catalog|brochure|booklet|flyer|pamphlet,Recyclable,Paper/Cardboard,None,종이류 recycling area,V08,Stack them,V15,Tie with string,,,"2019 called, they want their paper media back.",Korea prints 2 billion advertising flyers per year.,False,False,,Remove plastic coating pages if possible
T022,Paper Cup (Coffee),종이컵,paper cup|coffee cup|hot cup|starbucks cup paper|to-go cup,Recyclable,Paper,None,종이컵 separate collection,V04,Dump out the liquid,V05,Rinse it quick,V07,Stack them together,Your latte art lasted 3 seconds. This cup lasts 20 years.,Korea uses 2.6 billion paper cups per year.,False,False,,Some areas collect paper cups separately
T023,Tissue / Paper Towel,휴지,tissue|paper towel|napkin|kleenex|toilet paper|used tissue|kitchen towel,General Waste,Paper (contaminated),White,일반쓰레기 bag,V13,Just toss it,,,,,Used tissues are NOT recyclable. Your nose ruined it.,The average person uses 100 rolls of toilet paper per year.,False,False,,Wet/contaminated paper cannot be recycled
T024,Receipt,영수증,receipt|store receipt|thermal paper|credit card slip,General Waste,Paper (thermal),White,일반쓰레기 bag,V13,Toss in general waste,,,,,Thermal paper has BPA coating. It's literally toxic paper.,Receipts contain BPA which contaminates recyclable paper.,False,False,,NEVER put in paper recycling
T025,Pizza Box,피자박스,pizza box|pizza carton|dominos box|pizza hut box,Recyclable,Paper/Cardboard,None,종이류 recycling area,V06,Tear off the greasy parts,V14,Flatten the clean parts,V15,Tie with other cardboard,The grease stain is a map of your regret.,Koreans order 2.5 billion won of pizza on Christmas Eve alone.,False,False,,Greasy parts → General waste. Clean parts → Paper recycling
T026,Milk / Juice Carton,우유팩,milk carton|juice box|tetra pak|soy milk carton|beverage carton,Recyclable,Paper (carton),None,종이팩 separate collection,V04,Empty it completely,V05,Rinse inside,V14,Cut open and flatten,You opened it from the wrong side didn't you. We all saw.,Paper cartons are collected separately from regular paper in Korea.,False,False,,Separate from regular paper!
T027,Envelope,봉투,envelope|mail envelope|letter envelope|padded envelope,Recyclable,Paper/Cardboard,None,종이류 recycling area,V16,Remove the plastic window,V08,Flatten it,,,"Bills in 2025? What is this, the Joseon dynasty?",Korea's postal service delivers 5.8 billion items per year.,False,False,,Padded/bubble envelope → General waste
T028,Book,책,book|textbook|novel|paperback|hardcover|old book,Recyclable,Paper/Cardboard,None,종이류 recycling area,V08,Stack neatly,V15,Tie with string,,,Marie Kondo would be proud. Or horrified.,"Korea publishes 60,000 new book titles per year.",False,False,,Remove hardcover binding if possible
T029,Wrapping Paper,포장지,wrapping paper|gift wrap|birthday wrap|christmas wrap|present paper,General Waste,Paper (coated),White,일반쓰레기 bag,V13,Ball it up and toss,,,,,That gift wrap lasted 4 seconds of excitement. Worth it?,Most wrapping paper has plastic coating making it non-recyclable.,False,False,,Plain paper with no coating/glitter → Paper recycling
T030,Egg Carton (Paper),계란판,egg carton|egg box|egg tray|paper egg carton,Recyclable,Paper/Cardboard,None,종이류 recycling area,V08,Stack or flatten,,,,,12 eggs. 0 survived your cooking. The carton deserves better.,Korea consumes 13.8 billion eggs per year.,False,False,,Plastic egg cartons → Plastic recycling
T031,Glass Bottle (Soju),소주병,soju bottle|green bottle|glass soju|jinro bottle|chamisul bottle,Recyclable,Glass,None,유리 recycling bin,V01,Remove the cap,V05,Rinse it out,V17,Place gently in glass bin,Another soju night? Your liver sent a formal complaint.,Koreans drink 4.3 billion bottles of soju per year.,False,False,,Can return to stores for deposit
T032,Glass Bottle (Beer),맥주병,beer bottle|glass beer bottle|hite bottle|cass bottle|kloud bottle,Recyclable,Glass,None,유리 recycling bin,V01,Remove the cap,V05,Rinse it out,V17,Place gently in glass bin,Chimaek night evidence. Dispose before your roommate judges.,Korea is the 7th largest beer consuming country in Asia.,False,False,,Returnable for ₩100-300 deposit
T033,Glass Jar (Sauce/Jam),유리병,glass jar|jam jar|sauce jar|pickle jar|pasta sauce jar|honey jar|nutella jar,Recyclable,Glass,None,유리 recycling bin,V01,Remove the lid,V06,Scoop out remaining food,V05,Rinse it clean,You used it once 8 months ago. Time to let go.,Glass can be recycled infinitely without losing quality.,False,False,,Metal lid → Metal recycling
T034,Broken Glass,깨진유리,broken glass|shattered glass|glass shards|broken mirror piece|broken cup glass,General Waste,Glass (broken),White,일반쓰레기 bag,V18,Wrap in newspaper carefully,V19,Write 유리조각 on the bag,V13,Put in general waste bag,Broken glass is like your ex — handle with extreme caution.,Write 유리조각 on the bag so collectors don't get hurt.,False,True,,WRAP CAREFULLY
T035,Wine Bottle,와인병,wine bottle|red wine bottle|white wine bottle|champagne bottle|prosecco bottle,Recyclable,Glass,None,유리 recycling bin,V01,Remove the cork/cap,V05,Rinse it out,V17,Place in glass bin,Fancy. But recycling doesn't care about your taste in wine.,Korea's wine imports grew 70% since 2020.,False,False,,Cork → General waste
T036,Aluminum Can (Beer/Soda),알루미늄캔,aluminum can|beer can|soda can|coke can|energy drink can|monster can|redbull can,Recyclable,Metal/Can,Transparent,캔류 recycling bin,V04,Empty it completely,V05,Rinse it quick,V03,Crush it flat,Crushing cans is the only acceptable way to feel powerful.,Recycling one aluminum can saves enough energy to run a TV for 3 hours.,False,False,,
T037,Tin Can (Food),통조림캔,tin can|food can|tuna can|spam can|canned food|bean can|corn can|soup can,Recyclable,Metal/Can,Transparent,캔류 recycling bin,V20,Open fully and empty,V05,Rinse inside,V03,Crush if possible,Spam is a love language in Korea. Don't question it.,Korea is the #1 consumer of Spam outside the US.,False,False,,Remove paper label if easy
T038,Aerosol Can,스프레이캔,aerosol can|spray can|deodorant can|hairspray can|air freshener can,Recyclable,Metal/Can,Transparent,캔류 recycling bin,V21,Make sure it's completely empty,V22,Puncture to release gas (outdoors),V03,Crush if possible,That dry shampoo is not fooling anyone.,Aerosol cans can explode in garbage trucks if not emptied.,False,True,,MUST be fully empty
T039,Metal Lid / Bottle Cap,병뚜껑,bottle cap|metal lid|jar lid|crown cap|beer cap|metal cap,Recyclable,Metal/Can,Transparent,캔류 recycling bin,V13,Collect a few together,V09,Put in can recycling,,,Tiny but mighty. Unlike your recycling efforts until now.,Bottle caps are top 5 items found in ocean cleanups.,False,False,,Collect multiple caps in one can
T040,Aluminum Foil,알루미늄호일,aluminum foil|tin foil|foil wrap|cooking foil|baking foil,Recyclable,Metal/Can,Transparent,캔류 recycling bin,V06,Remove all food residue,V05,Rinse if greasy,V13,Ball it up → can recycling,Your kimbap wrapping skills need work. So does your recycling.,Clean aluminum foil is recyclable. Greasy foil is not.,False,False,,If too greasy → General waste
T041,Smartphone,스마트폰,phone|smartphone|iphone|samsung phone|galaxy phone|mobile phone|cell phone|old phone,Free Pickup,Electronics (small),None,소형가전 free pickup,V23,Factory reset your data!,V24,Call 1599-0903 for free pickup,,,Your old phone has seen things. Factory reset it. Trust us.,"Korea generates 800,000 tons of e-waste per year.",False,True,,Free pickup via 1599-0903 or drop at 주민센터
T042,Laptop,노트북,laptop|notebook computer|macbook|old laptop|broken laptop|chromebook,Free Pickup,Electronics (small),None,소형가전 free pickup,V23,Wipe your data!,V24,Call 1599-0903 for free pickup,,,"It served you through 4,000 Netflix sessions. Rest in peace.","E-waste contains gold, silver, and platinum worth billions.",False,True,,Free pickup via 1599-0903
T043,Charger / Cable,충전기,charger|phone charger|USB cable|lightning cable|charging cable|power cord|adapter,Free Pickup,Electronics (small),None,소형가전 free pickup,V13,Bundle cables together,V24,Drop at 주민센터 or e-waste bin,,,The drawer of mystery cables. We all have one.,Average household has 6-10 unused cables.,False,False,,Small electronics bin at 주민센터
T044,Hair Dryer,헤어드라이어,hair dryer|blow dryer|hairdryer|styling tool|curling iron|flat iron,Free Pickup,Electronics (small),None,소형가전 free pickup,V24,Call 1599-0903 for free pickup,,,,,It died mid-blowout? Our condolences to your hair.,Small appliances are picked up FREE in Korea.,False,False,,Free pickup via 1599-0903
T045,Batteries (AA/AAA),건전지,battery|batteries|AA battery|AAA battery|alkaline battery|dry cell,Hazardous,Battery,None,폐건전지 collection box,V13,Tape the ends with scotch tape,V25,Drop in battery collection box,,,These tiny toxic bombs do NOT go in regular trash. Ever.,One battery can contaminate 1sqm of soil for 50 years.,False,True,,"Collection boxes at 주민센터, apartment lobbies, convenience stores"
T046,Button Battery,수은전지,button battery|coin battery|watch battery|CR2032|lithium coin cell,Hazardous,Battery,None,폐건전지 collection box,V13,Tape both sides,V25,Drop in battery collection box,,,Tiny. Deadly to kids and pets. Handle responsibly.,Button batteries can cause fatal injuries if swallowed.,False,True,,KEEP AWAY FROM CHILDREN
T047,Light Bulb (LED/Incandescent),전구,light bulb|LED bulb|incandescent bulb|lamp bulb,General Waste,Bulb,White,일반쓰레기 bag,V18,Wrap in newspaper,V13,Put in general waste bag,,,You finally changed the bulb dead for 6 months? Wow.,"LED bulbs last 25,000 hours vs 1,000 for incandescent.",False,False,,Wrap to prevent breakage
T048,Fluorescent Tube,형광등,fluorescent tube|fluorescent light|tube light|CFL bulb,Hazardous,Bulb (mercury),None,폐형광등 collection box,V18,Keep it intact — don't break it,V25,Drop at fluorescent collection box,,,Contains mercury. Breaking it is a mini hazmat situation.,"One tube contains enough mercury to contaminate 30,000L of water.",False,True,,DO NOT BREAK. Collection boxes at apartments and 주민센터
T049,Printer / Scanner,프린터,printer|scanner|inkjet printer|laser printer|old printer,Free Pickup,Electronics (medium),None,소형가전 free pickup,V24,Call 1599-0903 for free pickup,,,,,It jammed for the last time. Freedom at last.,Printer cartridges take 450 years to decompose.,False,False,,Free pickup via 1599-0903
T050,Electric Kettle,전기포트,electric kettle|kettle|water boiler|hot water pot,Free Pickup,Electronics (small),None,소형가전 free pickup,V04,Empty all water,V24,Call 1599-0903 or drop at 주민센터,,,"It boiled water 10,000 times. A true hero.",Electric kettles are one of the most recycled small appliances.,False,False,,Free pickup via 1599-0903
T051,Mattress,매트리스,mattress|bed mattress|foam mattress|spring mattress|memory foam,Bulky Waste,Furniture,None,대형폐기물 registration,V26,Register online at Gangnam-gu,V27,"Pay the fee (₩5,000-15,000)",V28,Stick the number & put outside,That mattress has stories. None of them are recyclable.,"Illegal dumping fines start at ₩1,000,000.",True,False,https://clean.gangnam.go.kr/use/biwa/USEBIWA02020000.do,
T052,Sofa,소파,sofa|couch|loveseat|sectional sofa|old sofa,Bulky Waste,Furniture,None,대형폐기물 registration,V26,Register online at Gangnam-gu,V27,"Pay the fee (₩5,000-20,000)",V28,Stick the number & put outside,Your Netflix throne has fallen. Long live the new sofa.,Sofas are the most illegally dumped items in Seoul.,True,False,https://clean.gangnam.go.kr/use/biwa/USEBIWA02020000.do,
T053,Desk / Table,책상,desk|table|dining table|study desk|office desk|coffee table|computer desk,Bulky Waste,Furniture,None,대형폐기물 registration,V26,Register online at Gangnam-gu,V27,"Pay the fee (₩3,000-10,000)",V28,Stick the number & put outside,IKEA assembly: 4 hours. Disassembly: also 4 hours.,"Gangnam-gu processes over 50,000 bulky waste items per year.",True,False,https://clean.gangnam.go.kr/use/biwa/USEBIWA02020000.do,
T054,Chair,의자,chair|office chair|dining chair|gaming chair|desk chair|armchair,Bulky Waste,Furniture,None,대형폐기물 registration,V26,Register online at Gangnam-gu,V27,"Pay the fee (₩1,000-5,000)",V28,Stick the number & put outside,That gaming chair carried you through many defeats. Salute.,Office chairs are the #1 registered bulky item in Gangnam.,True,False,https://clean.gangnam.go.kr/use/biwa/USEBIWA02020000.do,
T055,Bookshelf,책장,bookshelf|bookcase|shelving unit|shelf|storage shelf,Bulky Waste,Furniture,None,대형폐기물 registration,V26,Register online at Gangnam-gu,V27,"Pay the fee (₩3,000-10,000)",V28,Stick the number & put outside,Empty shelf = you either moved or finally read everything.,Disassembling furniture before disposal can reduce the fee.,True,False,https://clean.gangnam.go.kr/use/biwa/USEBIWA02020000.do,
T056,Wardrobe / Closet,옷장,wardrobe|closet|armoire|clothing cabinet|dresser,Bulky Waste,Furniture,None,대형폐기물 registration,V26,Register online at Gangnam-gu,V27,"Pay the fee (₩5,000-15,000)",V28,Stick the number & put outside,Narnia isn't in there. We checked. Time to let it go.,Large wardrobes may need two separate registrations.,True,False,https://clean.gangnam.go.kr/use/biwa/USEBIWA02020000.do,
T057,Washing Machine,세탁기,washing machine|washer|laundry machine|front loader|top loader,Free Pickup,Appliance (large),None,대형가전 free pickup,V24,Call 1599-0903 for FREE pickup,V29,Schedule a pickup date,,,FREE pickup for large appliances! Korea gives you a break.,"Large appliances (TV, fridge, washer, AC) are picked up FREE by law.",True,False,,FREE by law. Do NOT pay for bulky waste registration
T058,Refrigerator,냉장고,refrigerator|fridge|freezer|mini fridge|kimchi fridge|김치냉장고,Free Pickup,Appliance (large),None,대형가전 free pickup,V04,Empty all food first,V24,Call 1599-0903 for FREE pickup,V29,Schedule a pickup date,Empty the kimchi fridge. Yes ALL of it. Even that jar from 2019.,Kimchi fridges are uniquely Korean — designed for fermentation.,True,False,,FREE by law. Call 1599-0903
T059,Air Conditioner,에어컨,air conditioner|AC unit|aircon|wall AC|portable AC|standing AC,Free Pickup,Appliance (large),None,대형가전 free pickup,V24,Call 1599-0903 for FREE pickup,V29,Schedule a pickup date,,,"Seoul summers without AC? That's not brave, that's dangerous.",AC units contain refrigerant gases needing professional handling.,True,False,,FREE by law. Requires professional disconnection
T060,Television,텔레비전,TV|television|monitor|flat screen|LCD TV|LED TV|old TV|broken TV,Free Pickup,Appliance (large),None,대형가전 free pickup,V24,Call 1599-0903 for FREE pickup,V29,Schedule a pickup date,,,"4K, 8K, and now it's 0K because it's dead.",CRT TVs contain 2-4kg of lead.,True,False,,FREE by law. Call 1599-0903
T061,Bicycle,자전거,bicycle|bike|old bike|broken bicycle|kids bike,Bulky Waste,Transport,None,대형폐기물 registration,V26,Register online at Gangnam-gu,V27,"Pay the fee (₩3,000-5,000)",V28,Stick the number & put outside,It was going to change your life. It didn't. That's OK.,Seoul has 200km of bike lanes but 90% of bikes sold end up unused.,True,False,https://clean.gangnam.go.kr/use/biwa/USEBIWA02020000.do,
T062,Suitcase,캐리어,suitcase|luggage|carry-on|travel bag hard case|roller bag|캐리어,Bulky Waste,Misc Large,None,대형폐기물 registration,V26,Register online at Gangnam-gu,V27,"Pay the fee (₩1,000-3,000)",V28,Stick the number & put outside,"It survived 47 flights. Bon voyage, old friend.",Broken suitcases are the most common foreigner bulky waste item.,True,False,https://clean.gangnam.go.kr/use/biwa/USEBIWA02020000.do,
T063,Carpet / Rug,카펫,carpet|rug|floor mat|area rug|bath mat|door mat,Bulky Waste,Fabric (large),None,대형폐기물 registration,V26,Register online at Gangnam-gu,V27,"Pay the fee (₩1,000-5,000)",V28,Stick the number & put outside,That rug really tied the room together. But now it's gotta go.,Small mats can go in General waste if they fit.,True,False,https://clean.gangnam.go.kr/use/biwa/USEBIWA02020000.do,Small bath mats → General waste if fits in bag
T064,Mirror (Large),거울,mirror|wall mirror|standing mirror|vanity mirror|full length mirror,Bulky Waste,Glass (large),None,대형폐기물 registration,V26,Register online at Gangnam-gu,V27,"Pay the fee (₩1,000-3,000)",V28,Stick the number & put outside,7 years bad luck if you break it. 0 years if you recycle properly.,Mirrors cannot go in glass recycling — coating contaminates.,True,False,https://clean.gangnam.go.kr/use/biwa/USEBIWA02020000.do,Small mirrors → wrap → General waste. NEVER glass recycling
T065,Ironing Board,다리미판,ironing board|iron board|clothes iron stand,Bulky Waste,Metal/Fabric,None,대형폐기물 registration,V26,Register online at Gangnam-gu,V27,"Pay the fee (₩1,000-3,000)",V28,Stick the number & put outside,You ironed clothes exactly twice. We know.,Ironing boards are one of the least-used household items.,True,False,https://clean.gangnam.go.kr/use/biwa/USEBIWA02020000.do,
T066,Fan (Standing/Tower),선풍기,fan|standing fan|tower fan|desk fan|electric fan,Free Pickup,Electronics (medium),None,소형가전 free pickup,V24,Call 1599-0903 for free pickup,,,,,Korean fan death myth: debunked. Fan disposal rules: very real.,The 'fan death' myth is uniquely Korean — fans don't kill you.,False,False,,Free pickup via 1599-0903
T067,Food Scraps (General),음식물쓰레기,food waste|food scraps|leftover food|old food|expired food|spoiled food|rotten food,Food Waste,Food,Yellow,음식물쓰레기 bin/bag,V30,Drain all liquid,V31,Put in food waste bin or yellow bag,,,Your fridge is not a museum. Stop preserving expired food.,Korea recycles 95% of food waste — highest rate in the world.,False,False,,"Remove bones, shells, seeds first → General waste"
T068,Fruit Peels,과일껍질,fruit peel|banana peel|apple peel|orange peel|watermelon rind|mango skin,Food Waste,Food,Yellow,음식물쓰레기 bin/bag,V30,Drain excess moisture,V31,Put in food waste bin,,,Banana peel on the ground is comedy. In the wrong bin is tragedy.,Fruit peels make up 30% of Korea's food waste.,False,False,,Coconut shells and hard nut shells → General waste
T069,Cooked Rice / Noodles,밥/면,leftover rice|old rice|cooked noodles|pasta|udon|ramyeon leftovers,Food Waste,Food,Yellow,음식물쓰레기 bin/bag,V30,Drain any liquid,V31,Put in food waste bin,,,You made enough rice for 12 people. There are 2 of you.,Korean households waste 27% of rice they cook.,False,False,,
T070,Meat / Fish Bones,뼈,bones|chicken bones|fish bones|pork bones|beef bones|rib bones,General Waste,Food (non-compostable),White,일반쓰레기 bag,V13,Put in general waste bag,,,,,Bones are TOO HARD for the food waste machine. Don't be that person.,Bones jam the food waste processing machines.,False,False,,NOT food waste!
T071,Egg Shells,달걀껍데기,egg shell|eggshell|egg shells,Food Waste,Food,Yellow,음식물쓰레기 bin/bag,V31,Put in food waste bin,,,,,Humpty Dumpty goes in the yellow bin. Now you know.,Egg shells are compostable and good for soil.,False,False,,Crush to save space
T072,Tea Bags / Coffee Grounds,티백/커피찌꺼기,tea bag|coffee grounds|used tea|coffee filter|espresso puck,Food Waste,Food,Yellow,음식물쓰레기 bin/bag,V30,Squeeze out excess water,V31,Put in food waste bin,,,Your caffeine addiction is composting's gain.,Coffee grounds absorb odors — put some in your fridge.,False,False,,Remove staple from tea bag
