item_id,item_name_en,korean_tag,aliases,category,sub_category,bag_color,destination,step_1_visual_id,step_1_text,step_2_visual_id,step_2_text,step_3_visual_id,step_3_text,mascot_funny_text,funny_fact,is_bulky,is_hazardous,bulky_website_url,special_note
T073,Delivery Food Leftovers,배달음식잔반,delivery leftovers|takeout leftovers|leftover chicken|leftover pizza,Food Waste,Food,Yellow,음식물쓰레기 bin/bag,V30,Separate food from container,V06,Clean the container,V31,Food → yellow. Container → recycling,You ordered for 4 but live alone. We respect the ambition.,Korean delivery food waste increased 40% since COVID.,False,False,,Separate food waste from packaging!
T074,Seafood Shells,조개껍데기,clam shell|mussel shell|oyster shell|shrimp shell|crab shell|lobster shell,General Waste,Food (non-compostable),White,일반쓰레기 bag,V13,Put in general waste bag,,,,,Shells are nature's armor. The food waste machine can't handle armor.,Shellfish shells are too hard for composting machines.,False,False,,NOT food waste! Too hard for processing
T075,Nut Shells (Hard),견과류껍질,walnut shell|coconut shell|macadamia shell|hard nut shell|pistachio shell,General Waste,Food (non-compostable),White,일반쓰레기 bag,V13,Put in general waste bag,,,,,Hard shells break the machine. Soft shells (peanut) → food waste.,Peanut shells = food waste. Walnut shells = general waste. Confusing? Yes.,False,False,,Peanut shells → Food waste. Hard shells → General waste
T076,Clothing (Wearable),의류,clothes|clothing|old clothes|t-shirt|jeans|jacket|dress|shirt|pants|sweater|hoodie,Donation,Clothing,None,의류수거함 donation bin,V32,Put in a bag,V33,Drop in clothing donation bin (의류수거함),,,"If it sparks joy, keep it. If not, the donation bin awaits.",Korea exports 60% of donated clothing to Southeast Asia.,False,False,,Clean and dry. Bins near apartment complexes
T077,Clothing (Unwearable/Torn),헌옷,torn clothes|ripped clothes|stained clothes|damaged clothing|rag|old underwear|worn socks,General Waste,Clothing (damaged),White,일반쓰레기 bag,V13,Put in general waste bag,,,,,It had a good run. 47 washes. 3 permanent stains. RIP.,Textile waste takes 200+ years to decompose.,False,False,,Too damaged to donate
T078,Shoes,신발,shoes|sneakers|boots|sandals|heels|old shoes|slippers|running shoes|trainers,Donation,Clothing,None,의류수거함 donation bin,V32,Tie them together,V33,Drop in clothing donation bin,,,"Those shoes walked 10,000 steps a day. They deserve a second life.",Shoes can be donated even if slightly worn.,False,False,,If completely destroyed → General waste
T079,Blanket / Bedding,이불,blanket|comforter|duvet|bedding|pillow|bed sheets|quilt,Donation,Clothing/Fabric,None,의류수거함 donation bin,V32,Fold and bag it,V33,Drop in clothing donation bin,,,That blanket saw every K-drama marathon. It knows too much.,If too large for donation bin → Bulky waste registration.,False,False,,
T080,Bag / Backpack,가방,bag|backpack|purse|handbag|tote bag|messenger bag|school bag|gym bag,Donation,Clothing,None,의류수거함 donation bin,V33,Drop in clothing donation bin,,,,,That bag carried your dreams. And 47 receipts. Mostly receipts.,Leather bags take 50 years to decompose.,False,False,,If completely destroyed → General waste
T081,Shampoo Bottle (Empty),샴푸통,shampoo bottle|conditioner bottle|body wash bottle|shower gel bottle|hand soap bottle,Recyclable,Plastic,Transparent,재활용 bin,V04,Empty it completely,V05,Rinse it out,V01,Remove the pump top,Your shower takes 45 min but rinsing this takes 5 seconds?,Pump mechanisms are mixed material → General waste.,False,False,,Pump/nozzle → General waste
T082,Toothpaste Tube,치약튜브,toothpaste tube|toothpaste|empty toothpaste,General Waste,Plastic (mixed),White,일반쓰레기 bag,V13,Toss in general waste,,,,,You squeezed every last molecule out. We admire the dedication.,Toothpaste tubes are mixed aluminum+plastic — can't separate.,False,False,,
T083,Razor (Disposable),면도기,razor|disposable razor|shaving razor|gillette,General Waste,Plastic (sharp),White,일반쓰레기 bag,V18,Wrap blade in paper for safety,V13,Put in general waste bag,,,"Smooth face, rough environmental impact.",2 billion disposable razors thrown away globally each year.,False,False,,Wrap blade to protect waste collectors
T084,Cotton Pads / Q-tips,화장솜/면봉,cotton pad|cotton ball|q-tip|cotton swab|makeup remover pad|ear swab,General Waste,Hygiene,White,일반쓰레기 bag,V13,Toss in general waste,,,,,Your skincare routine generates more waste than a small factory.,Cotton swabs are top 10 ocean pollutants.,False,False,,
T085,Contact Lens / Case,콘택트렌즈,contact lens|contact lenses|lens case|contact case,General Waste,Plastic (tiny),White,일반쓰레기 bag,V13,Toss in general waste,,,,,Too tiny to recycle. Your eyes are expensive AND wasteful.,Never flush down toilet — microplastic pollution.,False,False,,
T086,Sunscreen Bottle,선크림,sunscreen|sunblock|SPF bottle|sun cream|UV cream bottle,Recyclable,Plastic,Transparent,재활용 bin,V04,Empty completely,V05,Rinse it out,,,SPF 50 for your skin. SPF 0 for the ocean. Rinse and recycle.,Chemical sunscreens damage coral reefs.,False,False,,If tube type (mixed material) → General waste
T087,Makeup Container,화장품용기,makeup|foundation bottle|lipstick|mascara|eyeshadow palette|compact|cosmetic container,General Waste,Plastic (mixed),White,일반쓰레기 bag,V13,Toss in general waste,,,,,That expired foundation isn't 'vintage.' It's bacteria.,Most makeup containers are mixed materials — not recyclable.,False,False,,If clearly single-material plastic → rinse → Plastic recycling
T088,Toilet Paper Roll (Cardboard),휴지심,toilet paper roll|paper towel roll|cardboard tube|TP roll,Recyclable,Paper/Cardboard,None,종이류 recycling area,V08,Flatten it,V09,Put with paper recycling,,,The only part of toilet paper that's recyclable. Ironic.,Toilet paper cardboard tubes are 100% recyclable.,False,False,,
T089,Cooking Oil (Used),식용유,cooking oil|used oil|frying oil|vegetable oil|old oil,General Waste,Liquid (special),White,일반쓰레기 bag,V34,Soak in newspaper/paper towels,V13,Put soaked paper in general waste,,,NEVER pour oil down the drain. The pipes will curse your name.,1 liter of oil can contaminate 1 million liters of water.,False,True,,NEVER pour down drain. Large amounts → 주민센터
T090,Ceramic Plate / Bowl (Broken),도자기,ceramic plate|broken plate|broken bowl|broken mug|ceramic|porcelain,General Waste,Ceramic,White,일반쓰레기 bag,V18,Wrap in newspaper,V19,Write 도자기 on the bag,V13,Put in general waste,Butterfingers strikes again.,Ceramics contaminate glass recycling — NEVER mix.,False,False,,NOT glass recycling!
T091,Non-stick Pan / Pot,프라이팬,frying pan|pot|non-stick pan|teflon pan|cooking pot|wok|saucepan,Bulky Waste,Metal (large),None,대형폐기물 or 고철,V26,If large: register as bulky waste,V27,If small: put in metal recycling,,,The non-stick coating is gone. Just like your cooking confidence.,Non-stick PFAS are 'forever chemicals' — they never break down.,False,False,https://clean.gangnam.go.kr/use/biwa/USEBIWA02020000.do,Small pans → metal recycling
T092,Sponge,수세미,sponge|kitchen sponge|dish sponge|scrubber|cleaning sponge,General Waste,Mixed material,White,일반쓰레기 bag,V13,Squeeze dry and toss,,,,,That sponge has more bacteria than your toilet. Just saying.,Kitchen sponges should be replaced every 1-2 weeks.,False,False,,
T093,Plastic Cutting Board,도마,cutting board|chopping board|plastic cutting board,General Waste,Plastic (large),White,일반쓰레기 bag,V13,Put in general waste bag,,,,,More scratched than your phone screen. Time to go.,Scratched cutting boards harbor bacteria in grooves.,False,False,,If too large → Bulky waste
T094,Glass Cup / Mug,유리컵,glass cup|drinking glass|wine glass|mug|ceramic mug|coffee mug,General Waste,Glass/Ceramic,White,일반쓰레기 bag,V18,Wrap in newspaper,V13,Put in general waste,,,That 'World's Best Boss' mug? You're not even a manager.,Drinking glasses have different composition than bottle glass — can't recycle together.,False,False,,NOT glass recycling! Different glass composition
T095,Candle (Used),양초,candle|used candle|scented candle|candle jar|wax candle,General Waste,Wax,White,일반쓰레기 bag,V35,Scoop out remaining wax,V05,Clean the glass jar,V17,Jar → glass recycling. Wax → general waste,"That ₩45,000 candle lasted 3 baths. Worth it? ...Yeah probably.",Glass candle jars are recyclable once cleaned.,False,False,,Separate: jar → Glass. Wax → General
T096,Picture Frame,액자,picture frame|photo frame|frame|wall frame,General Waste,Mixed material,White,일반쓰레기 bag,V36,Separate glass from frame,V17,Glass → glass recycling,V13,Frame → general waste,That selfie deserved a better frame anyway.,Separate materials for better recycling.,False,False,,If large → Bulky waste
T097,Umbrella,우산,umbrella|broken umbrella|old umbrella,General Waste,Mixed material,White,일반쓰레기 bag,V36,Separate metal frame from fabric if possible,V13,Put in general waste,,,It lasted exactly one typhoon. As expected.,Koreans throw away 10 million umbrellas per year.,False,False,,Metal → Metal recycling if separated
T098,Pillow,베개,pillow|old pillow|bed pillow|throw pillow|cushion,General Waste,Fabric/Foam,White,일반쓰레기 bag,V13,Put in general waste bag,,,,,Pillows should be replaced every 1-2 years. Yours is from 2018.,Old pillows double in weight from dust mites. Sweet dreams!,False,False,,If too large → Bulky waste. Clean → Donation bin
T099,Extension Cord / Power Strip,멀티탭,extension cord|power strip|surge protector|multi-tap|멀티탭,Free Pickup,Electronics (small),None,소형가전 free pickup,V24,Drop at 주민센터 or e-waste bin,,,,,That power strip has 47 things plugged in. It's tired.,Overloaded power strips cause 30% of electrical fires in Korea.,False,False,,
T100,Clock,시계,clock|wall clock|alarm clock|desk clock|digital clock,Free Pickup,Electronics (small),None,소형가전 free pickup,V45,Remove batteries first,V25,Batteries → battery collection box,V24,Clock → e-waste bin or 주민센터,Time's up for this clock. Literally.,Remove batteries before disposing of any electronic device.,False,False,,Remove batteries first!
T101,Delivery Padding (Air Pillows),에어캡,air pillow|air cushion|packing air bag|inflatable packaging|delivery padding,Recyclable,Vinyl/Film,Transparent,재활용 bin,V37,Pop and deflate them,V08,Flatten,V09,Put with vinyl recycling,Pop. Pop. Pop. OK that was fun. Now recycle.,Air pillows are 99% air and 1% plastic.,False,False,,
T102,Packing Peanuts (Styrofoam),완충재,packing peanuts|styrofoam peanuts|foam packing|loose fill,Recyclable,Styrofoam,Transparent,재활용 bin,V13,Bag them up so they don't fly away,V09,Put with styrofoam recycling,,,The glitter of the packaging world. They get EVERYWHERE.,Some packing peanuts dissolve in water — those are cornstarch!,False,False,,If dissolves in water → Food waste
T103,Tape (Packing/Scotch),테이프,tape|packing tape|scotch tape|duct tape|masking tape,General Waste,Plastic (adhesive),White,일반쓰레기 bag,V13,Toss in general waste,,,,,Tape is the cockroach of recycling. It ruins everything.,ALWAYS remove tape from cardboard before recycling.,False,False,,
T104,Shipping Label,송장,shipping label|delivery sticker|address label|waybill|택배송장,General Waste,Paper (adhesive),White,일반쓰레기 bag,V12,Peel off from the box,V13,Label → general waste,,,Your address is on that. Shred it unless you want visitors.,Remove for privacy AND recycling.,False,False,,Contains personal info
T105,Kraft Paper Padding,종이완충재,kraft paper|paper padding|crumpled paper packaging|brown paper fill,Recyclable,Paper/Cardboard,None,종이류 recycling area,V08,Flatten it out,V09,Put with paper recycling,,,At least this packaging is actually recyclable. Progress!,Kraft paper is one of the most eco-friendly packaging materials.,False,False,,
T106,Medicine (Expired),약,medicine|expired medicine|old pills|prescription drugs|medication|vitamins expired,Hazardous,Pharmaceutical,None,폐의약품 collection at pharmacy,V25,Take to any pharmacy (약국),,,,,That medicine expired in 2022. It's not aging like wine.,All pharmacies must accept expired medicine by law.,False,True,,NEVER flush or trash
T107,Nail Polish,매니큐어,nail polish|nail polish remover|nail varnish,Hazardous,Chemical,None,Special disposal,V25,Take to 주민센터 hazardous waste,,,,,That color is from 2019. Trends moved on. So should you.,Nail polish contains formaldehyde and toluene.,False,True,,Do not pour down drain
T108,Paint Can,페인트통,paint can|paint bucket|leftover paint|wall paint,Hazardous,Chemical,None,Special disposal,V21,Let remaining paint dry completely,V25,Take to 주민센터 hazardous waste,,,That accent wall was a choice. The disposal is also a choice.,Liquid paint contaminates soil and water.,False,True,,Let paint dry first
T109,Insecticide / Pesticide,살충제,insecticide|pesticide|bug spray|roach spray|ant killer|pest control spray,Hazardous,Chemical,None,Special disposal,V21,Make sure completely empty,V25,Take to 주민센터 hazardous waste,,,You vs the cockroach. The cockroach always wins in Korea.,Korean cockroaches have developed resistance to most common sprays.,False,True,,Empty can → Metal recycling. Full/partial → Hazardous waste
T110,Lighter,라이터,lighter|disposable lighter|zippo|gas lighter,Hazardous,Flammable,None,Special disposal,V21,Use up all the gas,V25,Take to 주민센터 or toss empty in general waste,,,An empty lighter is safe. A half-full one in a garbage truck is not.,Lighters in garbage trucks have caused fires.,False,True,,Must be completely empty before general waste
T111,Rubber Gloves,고무장갑,rubber gloves|cleaning gloves|dish gloves|latex gloves|kitchen gloves,General Waste,Rubber,White,일반쓰레기 bag,V13,Toss in general waste,,,,,Those gloves protected your hands but not the environment.,Rubber gloves are not recyclable.,False,False,,
T112,Vacuum Cleaner,청소기,vacuum cleaner|vacuum|dyson|robot vacuum|handheld vacuum|stick vacuum,Free Pickup,Electronics (medium),None,소형가전 free pickup,V24,Call 1599-0903 for free pickup,,,,,It sucked. Literally. That was its job. And now it's done.,Small electronics are picked up free in Korea.,False,False,,Free pickup via 1599-0903
T113,Iron (Clothes),다리미,iron|clothes iron|steam iron|garment steamer,Free Pickup,Electronics (small),None,소형가전 free pickup,V04,Empty water tank,V24,Call 1599-0903 or drop at 주민센터,,,You ironed once in 2024. The iron remembers.,Irons are classified as small electronics for free pickup.,False,False,,
T114,Humidifier,가습기,humidifier|air humidifier|ultrasonic humidifier|cool mist humidifier,Free Pickup,Electronics (medium),None,소형가전 free pickup,V04,Empty all water,V24,Call 1599-0903 for free pickup,,,Seoul winter air is drier than your humor. RIP humidifier.,"Korea had a humidifier disinfectant scandal in 2011 — 1,500+ deaths.",False,False,,Empty water before disposal
T115,Air Purifier,공기청정기,air purifier|air cleaner|HEPA filter machine|air filter,Free Pickup,Electronics (medium),None,소형가전 free pickup,V24,Call 1599-0903 for free pickup,,,,,It fought the fine dust and the fine dust won.,Seoul's fine dust (미세먼지) levels exceed WHO guidelines 100+ days/year.,False,False,,Free pickup. Filter → General waste separately
T116,Yoga Mat,요가매트,yoga mat|exercise mat|fitness mat|gym mat|pilates mat,General Waste,Rubber/Foam,White,일반쓰레기 bag,V38,Roll it up tight,V13,Put in general waste bag,,,Namaste in the trash. Your downward dog days are over.,Yoga mats are made of PVC — one of the hardest plastics to recycle.,False,False,,If too large → Bulky waste registration
T117,Dumbbell / Weight,덤벨,dumbbell|weight|kettlebell|hand weight|exercise weight,Bulky Waste,Metal (heavy),None,대형폐기물 or 고철,V26,Register as bulky waste if heavy,V27,Or take to scrap metal dealer (고철상),,,Those weights collected more dust than gains.,Scrap metal dealers (고철상) will sometimes pay you for heavy metal items.,True,False,https://clean.gangnam.go.kr/use/biwa/USEBIWA02020000.do,Scrap metal dealer may buy these
T118,Plant Pot (Ceramic/Plastic),화분,plant pot|flower pot|ceramic pot|plastic pot|planter,General Waste,Ceramic/Plastic,White,일반쓰레기 bag,V06,Remove soil and plant,V13,Pot → general waste,,,The plant died. The pot is next. Circle of life.,Soil can go in food waste or garden areas — not in bags.,False,False,,Soil → sprinkle in garden area. Large pots → Bulky waste
T119,Shoe Rack (Small),신발장,shoe rack|shoe shelf|shoe organizer|small shoe cabinet,Bulky Waste,Furniture (small),None,대형폐기물 registration,V26,Register online at Gangnam-gu,V27,"Pay the fee (₩1,000-3,000)",V28,Stick the number & put outside,It held 47 pairs of shoes you wore 3 of. Goodbye.,Small furniture items have the lowest bulky waste fees.,True,False,https://clean.gangnam.go.kr/use/biwa/USEBIWA02020000.do,
T120,Microwave,전자레인지,microwave|microwave oven|old microwave|broken microwave,Free Pickup,Electronics (medium),None,소형가전 free pickup,V24,Call 1599-0903 for FREE pickup,,,,,"It heated 10,000 convenience store meals. A true soldier.",Microwaves are classified as small electronics — FREE pickup.,False,False,,Free pickup via 1599-0903
T121,Milk Jug (Plastic),우유통,milk jug|plastic milk container|large milk bottle,Recyclable,Plastic,Transparent,재활용 bin,V04,Empty completely,V05,Rinse it out,V03,Crush flat,That's a lot of cereal evidence.,Plastic milk jugs are one of the most efficiently recycled plastics.,False,False,,
T122,Yogurt Cup,요거트컵,yogurt cup|yoghurt container|yakult bottle|yogurt bottle,Recyclable,Plastic,Transparent,재활용 bin,V06,Scoop out remaining yogurt,V05,Rinse it clean,V07,Stack them,Your gut health journey creates a lot of plastic. Ironic.,Yakult bottles are one of Korea's most recognizable recyclables.,False,False,,Must be clean
T123,Ice Cream Container,아이스크림통,ice cream tub|ice cream container|gelato container|baskin robbins container,Recyclable,Paper/Plastic,Transparent,재활용 bin,V06,Scoop out all ice cream,V05,Rinse it clean,,,You ate the whole tub? In one sitting? No judgment. OK some judgment.,Paper ice cream containers with plastic lining → check material.,False,False,,If paper-based → Paper recycling. If plastic → Plastic recycling
T124,Cosmetic Glass Bottle,화장품유리병,perfume bottle|cologne bottle|serum bottle|glass cosmetic bottle|essential oil bottle,Recyclable,Glass,None,유리 recycling bin,V01,Remove cap/dropper,V05,Rinse it out,V17,Place in glass bin,"That ₩200,000 serum is gone. The bottle lives on.",Remove all caps and droppers — those are mixed material → General waste.,False,False,,Cap/dropper → General waste
T125,Spray Bottle (Plastic),스프레이통,spray bottle|cleaning spray bottle|trigger spray|mist bottle,Recyclable,Plastic,Transparent,재활용 bin,V04,Empty completely,V01,Remove the spray nozzle,V05,Rinse the bottle,The spray nozzle is the villain here. Remove it.,Spray nozzles are mixed material — always remove before recycling.,False,False,,Nozzle → General waste. Bottle → Plastic recycling
T126,Tetra Pak (Foil-lined),멸균팩,tetra pak|aseptic carton|long-life milk carton|juice tetra pak|almond milk carton,Recyclable,Paper (carton),None,종이팩 separate collection,V04,Empty completely,V05,Rinse inside,V14,Cut open and flatten,This carton has more layers than your personality. Rinse it.,"Tetra Paks have 6 layers: paper, polyethylene, aluminum.",False,False,,Separate from regular paper AND regular cartons
T127,Plastic Bottle Cap,플라스틱뚜껑,plastic cap|bottle cap plastic|water bottle cap|soda cap plastic,Recyclable,Plastic,Transparent,재활용 bin,V09,Collect several together,V13,Put in transparent bag with plastics,,,Tiny but important. Collect a bunch before recycling.,Caps are different plastic (PP) than bottles (PET) — separate them.,False,False,,Separate from PET bottles
T128,Rubber Band,고무줄,rubber band|elastic band|hair tie|rubber ring,General Waste,Rubber,White,일반쓰레기 bag,V13,Toss in general waste,,,,,"Too small, too stretchy, too useless to recycle.",Rubber bands are not recyclable in Korea.,False,False,,
T129,Zipper Bag / Resealable Bag,지퍼백,zipper bag|ziplock bag|resealable bag|sandwich bag|freezer bag,Recyclable,Vinyl/Film,Transparent,재활용 bin,V06,Empty and shake out crumbs,V05,Rinse if food residue,V09,Put with vinyl recycling,You reused it 3 times. That's actually impressive. Now recycle it.,Clean zipper bags are recyclable as vinyl/film.,False,False,,Must be clean and dry
T130,Aluminum Tray (Takeout),알루미늄트레이,aluminum tray|foil tray|takeout aluminum container|disposable aluminum pan,Recyclable,Metal/Can,Transparent,캔류 recycling bin,V06,Remove all food,V05,Rinse it clean,V03,Crush flat,That samgyeopsal tray served you well. Clean it up.,Aluminum trays are infinitely recyclable if cleaned.,False,False,,If too greasy → General waste
T131,Printer Paper (Clean),종이,paper|printer paper|A4 paper|copy paper|white paper|office paper,Recyclable,Paper/Cardboard,None,종이류 recycling area,V08,Stack neatly,V15,Tie with string,,,You printed 47 pages for a 2-minute meeting. The trees felt that.,Korea uses 8.8 million tons of paper per year.,False,False,,Remove staples and clips if possible
T132,Sticky Notes,포스트잇,sticky note|post-it|post it note|memo pad sticky,Recyclable,Paper,None,종이류 recycling area,V13,Put with paper recycling,,,,,Your wall of sticky notes is not a productivity system. It's chaos.,The adhesive on sticky notes doesn't affect paper recycling.,False,False,,
T133,Binder / Folder (Plastic),바인더,binder|plastic folder|ring binder|file folder|document holder,General Waste,Plastic (mixed),White,일반쓰레기 bag,V36,Remove paper contents first,V13,Binder → general waste,,,That binder from university? It's been 5 years. Let go.,Paper inside → Paper recycling.,False,False,,
T134,Ink Cartridge,잉크카트리지,ink cartridge|toner cartridge|printer cartridge|printer ink,Hazardous,Electronics,None,Special collection,V25,Drop at electronics store or 주민센터,,,,,That cartridge costs more per ml than champagne.,"Printer ink is one of the most expensive liquids — $2,700/gallon.",False,True,,Many stores accept used cartridges
T135,Stapler / Staples,스테이플러,stapler|staples|paper stapler|desk stapler,General Waste,Metal/Plastic,White,일반쓰레기 bag,V13,Toss in general waste,,,,,"It stapled 10,000 documents. A quiet hero.",Remove staples from paper before recycling the paper.,False,False,,
T136,Cat Litter (Used),고양이모래,cat litter|kitty litter|used cat litter|cat sand,General Waste,Hygiene,White,일반쓰레기 bag,V13,Bag it and put in general waste,,,,,Your cat judges your recycling. Don't let them down.,Cat litter is NOT food waste — it clogs processing machines.,False,False,,NEVER put in food waste
T137,Pet Food Can,반려동물캔,pet food can|dog food can|cat food can|wet food can,Recyclable,Metal/Can,Transparent,캔류 recycling bin,V06,Remove all food,V05,Rinse it clean,V03,Crush if possible,Your pet eats better than you do. At least recycle the evidence.,Pet food cans are the same as human food cans — fully recyclable.,False,False,,
T138,Pet Waste Bag,반려동물배변봉투,pet waste bag|dog poop bag|pet poop bag,General Waste,Hygiene,White,일반쓰레기 bag,V13,Tie it up and put in general waste,,,,,Good human for picking it up. Now dispose it properly.,Pet waste is NOT food waste. General waste only.,False,False,,NOT food waste
T139,Christmas Tree (Artificial),크리스마스트리,christmas tree|artificial tree|fake tree|holiday tree|xmas tree,Bulky Waste,Misc Large,None,대형폐기물 registration,V26,Register online at Gangnam-gu,V27,Pay the fee,V28,Stick the number & put outside,It brought joy for 30 days. Now it brings a disposal fee.,Artificial trees should be used 10+ years to offset their carbon footprint.,True,False,https://clean.gangnam.go.kr/use/biwa/USEBIWA02020000.do,
T140,Gift Box (Cardboard),선물상자,gift box|present box|holiday box|chuseok gift box|설날 gift box,Recyclable,Paper/Cardboard,None,종이류 recycling area,V12,Remove ribbons and plastic,V14,Flatten the box,V15,Tie with other cardboard,That Chuseok gift set box is bigger than the gift inside.,Korean holiday gift sets generate 30% more packaging waste.,False,False,,Remove all ribbons/plastic → General waste
T141,Ribbon / Bow,리본,ribbon|gift ribbon|bow|decorative ribbon|gift bow,General Waste,Mixed material,White,일반쓰레기 bag,V13,Toss in general waste,,,,,Pretty but pointless for recycling.,Ribbons tangle in recycling machinery.,False,False,,
T142,Disposable Mask,마스크,face mask|disposable mask|KF94 mask|surgical mask|COVID mask,General Waste,Hygiene,White,일반쓰레기 bag,V38,Fold in half,V39,Cut the ear loops,V13,Put in general waste,COVID is over but the mask waste lives on.,Korea used 2 billion disposable masks during COVID peak years.,False,False,,Cut ear loops to protect wildlife
T143,Wet Wipes,물티슈,wet wipes|baby wipes|cleaning wipes|disinfecting wipes|makeup wipes,General Waste,Hygiene,White,일반쓰레기 bag,V13,Toss in general waste,,,,,Wet wipes are NOT flushable. Your plumber begs you.,Wet wipes cause 93% of sewer blockages worldwide.,False,False,,NEVER flush — even 'flushable' ones
T144,Diaper,기저귀,diaper|nappy|baby diaper|adult diaper|disposable diaper,General Waste,Hygiene,White,일반쓰레기 bag,V13,Roll up and put in general waste,,,,,500 years to decompose. Your baby will be long gone. So will you.,"A baby uses 6,000 diapers before potty training.",False,False,,
T145,Cigarette Butt,담배꽁초,cigarette butt|cigarette|cig butt|smoke butt,General Waste,Hygiene,White,일반쓰레기 bag,V13,Put in general waste (not on the ground!),,,,,"The ground is not an ashtray. Korea fines ₩100,000 for littering.",Cigarette butts are the #1 most littered item on Earth.,False,False,,"Littering fine: ₩100,000"
T146,USB Drive / SD Card,USB,USB drive|flash drive|thumb drive|SD card|memory card|USB stick,Free Pickup,Electronics (tiny),None,소형가전 free pickup,V23,Wipe your data!,V24,Drop at 주민센터 e-waste bin,,,That USB has your college thesis and 47 memes. Wipe it.,E-waste bins at 주민센터 accept all small electronics.,False,False,,Wipe data first
T147,Headphones / Earbuds,이어폰,headphones|earbuds|earphones|AirPods|bluetooth earbuds|wired earphones,Free Pickup,Electronics (small),None,소형가전 free pickup,V24,Drop at 주민센터 e-waste bin,,,,,One earbud always dies first. Now they're both dead.,Wireless earbuds contain lithium batteries — never in regular trash.,False,False,,Contains lithium battery
T148,Board Game / Puzzle,보드게임,board game|puzzle|jigsaw puzzle|card game|toy,General Waste,Mixed material,White,일반쓰레기 bag,V36,Separate cardboard from plastic pieces,V13,Cardboard → paper. Rest → general waste,,,Missing 3 pieces? It's not a game anymore. It's trash.,Separate what you can: cardboard box → Paper recycling.,False,False,,
T149,Stuffed Animal / Plush Toy,인형,stuffed animal|plush toy|teddy bear|soft toy|doll,Donation,Clothing/Fabric,None,의류수거함 donation bin,V33,Drop in clothing donation bin,,,,,It watched you sleep for 15 years. Time for a new home.,Clean stuffed animals can be donated. Damaged → General waste.,False,False,,If damaged → General waste
T150,Medication Blister Pack,약포장,blister pack|pill packaging|medicine packaging|foil pill pack,General Waste,Mixed material,White,일반쓰레기 bag,V13,Toss in general waste,,,,,Aluminum + plastic = recycling nightmare. General waste it is.,Blister packs are mixed aluminum-plastic — not recyclable.,False,False,,
